التاريخ,الصفحات المتأثرة
2026-04-27,0
2026-04-28,0
2026-04-29,0
2026-04-30,0
2026-05-01,0
2026-05-02,0
2026-05-03,0
2026-05-04,0
2026-05-05,0
2026-05-06,0
2026-05-07,0
2026-05-08,0
2026-05-09,0
2026-05-10,0
2026-05-11,0
2026-05-12,0
2026-05-13,0
2026-05-14,0
2026-05-15,0
2026-05-16,1
2026-05-17,1
2026-05-18,1
2026-05-19,0
2026-05-20,0
2026-05-21,0
2026-05-22,0
2026-05-23,4
2026-05-24,4
2026-05-25,4
2026-05-26,0
2026-05-27,0
2026-05-28,0
2026-05-29,0
2026-05-30,1
2026-05-31,1
2026-06-01,1
2026-06-02,0
2026-06-03,0
2026-06-04,0
2026-06-05,0
2026-06-06,0
2026-06-07,0
2026-06-08,0
2026-06-09,0
2026-06-10,0
2026-06-11,0
2026-06-12,0
2026-06-13,3
2026-06-14,3
2026-06-15,3
2026-06-16,3
2026-06-17,3
2026-06-18,3
2026-06-19,3
2026-06-20,3
2026-06-21,3
2026-06-22,3
2026-06-23,3
2026-06-24,3
2026-06-25,3
2026-06-26,3
2026-06-27,3
2026-06-28,3
2026-06-29,3
2026-06-30,3
